Country,Code,Year,Yield_Hectogram_Per_Hectare
Afghanistan,AFG,1961,10220
Afghanistan,AFG,1962,9735
Afghanistan,AFG,1963,8317
Afghanistan,AFG,1964,9510
Afghanistan,AFG,1965,9723
Afghanistan,AFG,1966,8666
Afghanistan,AFG,1967,11232
Afghanistan,AFG,1968,11562
Afghanistan,AFG,1969,11855
Afghanistan,AFG,1970,9563
Afghanistan,AFG,1971,8149
Afghanistan,AFG,1972,8457
Afghanistan,AFG,1973,11739
Afghanistan,AFG,1974,12074
Afghanistan,AFG,1975,12128
Afghanistan,AFG,1976,12494
Afghanistan,AFG,1977,11309
Afghanistan,AFG,1978,11980
Afghanistan,AFG,1979,12317
Afghanistan,AFG,1980,12549
Afghanistan,AFG,1981,12350
Afghanistan,AFG,1982,12299
Afghanistan,AFG,1983,12580
Afghanistan,AFG,1984,12319
Afghanistan,AFG,1985,12277
Afghanistan,AFG,1986,11890
Afghanistan,AFG,1987,12849
Afghanistan,AFG,1988,11728
Afghanistan,AFG,1989,11180
Afghanistan,AFG,1990,10510
Afghanistan,AFG,1991,10213
Afghanistan,AFG,1992,10313
Afghanistan,AFG,1993,10211
Afghanistan,AFG,1994,10250
Afghanistan,AFG,1995,10895
Afghanistan,AFG,1996,11220
Afghanistan,AFG,1997,12764
Afghanistan,AFG,1998,12964
Afghanistan,AFG,1999,12329
Afghanistan,AFG,2000,7240
Afghanistan,AFG,2001,8977
Afghanistan,AFG,2002,15419
Afghanistan,AFG,2003,15000
Afghanistan,AFG,2004,12659
Afghanistan,AFG,2005,18215
Afghanistan,AFG,2006,13760
Afghanistan,AFG,2007,18183
Afghanistan,AFG,2008,12263
Afghanistan,AFG,2009,19666
Afghanistan,AFG,2010,19252
Afghanistan,AFG,2011,15179
Afghanistan,AFG,2012,20104
Afghanistan,AFG,2013,20248
Afghanistan,AFG,2014,20237
Afghanistan,AFG,2015,21959
Afghanistan,AFG,2016,19803
Afghanistan,AFG,2017,20342
Afghanistan,AFG,2018,22100
Africa,,1961,6930
Africa,,1962,9236
Africa,,1963,8990
Africa,,1964,8736
Africa,,1965,8287
Africa,,1966,7604
Africa,,1967,8423
Africa,,1968,9922
Africa,,1969,8103
Africa,,1970,8703
Africa,,1971,9828
Africa,,1972,9918
Africa,,1973,9402
Africa,,1974,9711
Africa,,1975,11004
Africa,,1976,11177
Africa,,1977,9269
Africa,,1978,10459
Africa,,1979,10458
Africa,,1980,10988
Africa,,1981,11340
Africa,,1982,12750
